Hypothesis,Keywords,Comments,Combination
Weddings,"wedding, weddings, wed, weds, wedded, marry, marries, married, marrying, marriage, marriages, bride, brides, bridal, groom, grooms, honeymoon, honeymoons, honeymooning, matrimony, nuptials, fiance, fiances, fiancee, fiancees, tuxedo, tuxedos, wedding gown, wedding gowns, wedding dress, wedding dresses",,Weddings
Boxing,"boxing, boxer, boxers, boxed, boxing ring, boxing rings, boxing glove, boxing gloves, knockout, knockouts, uppercut, uppercuts, pugilism, pugilist, pugilists, sparring, heavyweight, heavyweights, welterweight, welterweights",,Boxing + Thai
Thailand,"Thailand, Thai, Thais, Bangkok, Phuket, Chiang Mai, Siam, Thai baht, Koh Samui, Chao Phraya",,Boxing + Thai
Muay Thai,"Muay Thai, Thai boxing, Thai boxer, Thai boxers, nak muay, ram muay, lumpinee stadium",,Boxing + Thai
Combat,"military, militaries, militaristic, police, policeman, policemen, police officer, police officers, warfare, armed forces, law enforcement, SWAT team, SWAT teams, battlefield, battlefields, armed conflict, armed conflicts, combatant, combatants",Police + Military + Violence + Combat + etc..,Boxing + Thai
Sports,"sport, sports, sporting, tournament, tournaments, championship, championships, scoreboard, scoreboards, playoff, playoffs, stadium, stadiums, athlete, athletes, athletic, athletics",,Sports + Winter
Winter,"winter, winters, wintertime, snow, snowing, snowed, snows, blizzard, blizzards, frostbite, frostbitten, icicle, icicles, subzero, snowfall, snowfalls, sleet, avalanche, avalanches",,Sports + Winter
Winter Sports,"skiing, ski, skis, skied, skier, skiers, snowboarding, snowboard, snowboards, snowboarder, snowboarders, ice skating, ice skate, ice skates, ice skater, ice skaters, bobsled, bobsleds, bobsledding, bobsledder, bobsledders, curling, figure skating, figure skater, figure skaters, ski resort, ski resorts, slalom, slaloms, ice hockey",,Sports + Winter
The Sun,"sun, solar eclipse, solar eclipses, sunbeam, sunbeams, solar radiation, sunspot, sunspots, solar flare, solar flares, photosphere, solar corona, ultraviolet rays, UV rays, sunshine",,The Sun + Eyeglasses
Eyeglasses,"eyeglasses, eyeglass, spectacles, spectacle, prescription lenses, bifocals, bifocal, optometrist, optometrists, reading glasses, astigmatism",,The Sun + Eyeglasses
Sunglasses,"sunglasses, sunglass, UV protection lenses, tinted lenses, polarized lenses, aviator glasses, wayfarer glasses, glare protection, ray bans, ray-bans, raybans",,The Sun + Eyeglasses
Toilet,"toilet, toilets, commode, commodes, flush toilet, flush toilets, urinal, urinals, bidet, bidets, latrine, latrines, water closet, water closets, outhouse, outhouses, restroom stall, restroom stalls",,Toilet + Paper
Paper,"paper, papers, parchment, parchments, notepad, notepads, ream of paper, reams of paper, looseleaf, cardstock, printer paper, papermaking",,Toilet + Paper
Toilet Paper,"toilet paper, toilet papers, toilet roll, toilet rolls, bath tissue, toilet tissue, toilet wipes, 2-ply toilet, toilet paper roll, toilet paper rolls",,Toilet + Paper
Value,"monetary value, monetary values, valuation, valuations, pricing, pricings, intrinsic value, intrinsic values, appraisal, appraisals, asset value, asset values",,Value + Proposition
Proposition,"business proposal, business proposals, pitch deck, pitch decks, formal proposition, formal propositions",,Value + Proposition
Value Proposition,"value proposition, value propositions, competitive advantage, competitive advantages, unique selling point, unique selling points, USP, USPs, customer value, market differentiator, market differentiators",,Value + Proposition
Cartoon,"cartoon, cartoons, cartoonish, animated show, animated shows, animation, animations, animator, animators, cartoon network, cel animation, nickelodeon",,Cartoon + Japanese
Japanese,"Japanese, Japan, Tokyo, Kyoto, Shinjuku, Hiragana, Katakana, Kanji, Nippon",,Cartoon + Japanese
Anime,"anime, animes, manga, mangas, shonen, shoujo, otaku, otakus, crunchyroll, studio ghibli, mecha, isekai, mangaka, mangakas",Also includes manga,Cartoon + Japanese
Polar,"north pole, south pole, arctic, antarctic, polar ice cap, polar ice caps, polar region, polar regions, tundra, tundras, permafrost",,Polar + Bear
Bear,"bear, bears, grizzly, grizzlies, grizzly bear, grizzly bears, black bear, black bears, brown bear, brown bears, bear cub, bear cubs, hibernation, hibernating, kodiak bear, sloth bear",,Polar + Bear
Polar Bear,"polar bear, polar bears, ursus maritimus, arctic bear, arctic bears, ice bear, ice bears, white bear, white bears, polar bear cub, polar bear cubs",,Polar + Bear
Horse,"horse, horses, stallion, stallions, mare, mares, foal, foals, equine, equines, equestrian, equestrians, hooves, horseback",,Horse + Racing
Racing,"racetrack, racetracks, finish line, finish lines, grand prix, racecar, racecars, drag race, drag races, drag racing, pole position, pole positions, checkered flag, checkered flags",,Horse + Racing
Horse Racing,"horse racing, jockey, jockeys, thoroughbred, thoroughbreds, steeplechase, steeplechases, hippodrome, hippodromes, belmont stakes, kentucky derby, ascot",,Horse + Racing
Gender,"gender,genders,man,men,women,woman,pregnancy,pregnant,father,mother,daughter,son,grandfather,grandmother,female,male,gay,lesbian,trasngender,wife,husband,spouse,boyfriend,girlfriend",Umberalla term will decide later,I talk like a man + I talk like a woman
I talk like a winner,"winner,winning,victory,victor,triumph,motivation,discipline,disciplined,motivated,triumphant,victorious,won,win,champion,champ",,I talk like a winner + I talk like a loser
I talk like a loser,"loser,losing,pathetic,incapable,last place,crying,give up,giving up,gave up,lost hope,losing hope,lose hope,whining,whine,cry,whined,cried,bitching,bitched,pansy",,I talk like a winner + I talk like a loser
Sports,"sport, sports, sporting, tournament, tournaments, championship, championships, scoreboard, scoreboards, playoff, playoffs, stadium, stadiums, athlete, athletes, athletic, athletics",,I talk like a winner + I talk like a loser
Clothes,"clothes, clothing, garment, garments, apparel, wardrobe, coat, coats, jacket, jackets, sweater, sweaters, parka, parkas, snowsuit, snowsuits, scarf, scarves, beanie, beanies, mitten, mittens, glove, gloves, earmuffs, shirt, shirts, pants, shorts, dress, dresses, skirt, skirts, sock, socks, shoe, shoes, swimsuit, swimsuits, swimwear, bikini, bikinis, swimming trunks, sundress, sundresses, sandal, sandals",Winter clothes in particular,It is cold in here + It is warm in here
Temperature,"hot, hotter, hottest, cold, colder, coldest, warm, warmer, warmest, cool, cooler, coolest, chilly, chillier, chilliest, freezing, freeze, freezes, froze, frozen, frigid, frosty, frostier, frostiest, sweltering, scorching, blistering, lukewarm, tepid, boiling, thawing, thawed, thaw, thaws",,It is cold in here + It is warm in here
Love,"love, loves, loved, loving, romantic love, affection, affections, affectionate, infatuation, infatuations, infatuated, soulmate, soulmates, true love, unconditional love, beloved, romance, romances, romantic",,It is cold in here + It is warm in here
Vegan,"vegan, vegans, veganism, vegetarian, vegetarians, vegetarianism, plant-based, plant based, meatless, dairy-free, dairy free, tofu, seitan",Also vegetarian,I am vegetarian + I eat meat
Meat,"carnivorous, carnivore, carnivores, meat eater, meat eaters, beef, pork, steak, steaks, poultry, venison, red meat, butcher shop, butcher shops, butchers, butcher, hamburger",Also meat eater,I am vegetarian + I eat meat
Food,"food, foods, eating, eat, eats, ate, eaten, consuming meal, digesting, digested, dining, dines, dined, culinary, groceries, grocery, cuisine, cuisines, edible, gastronomy",Also eating,I am vegetarian + I eat meat
Summertime,"summer, summers, summertime, sunscreen, sunscreens, sunburn, sunburns, sunburned, sunburnt, beach day, beach days, summer vacation, summer vacations, heatwave, heatwaves",Summertime related words,Winter + Summer
Wintertime,"winter, winters, wintertime, snow, snowing, snowed, snows, frost, ice storm, ice storms, blizzard, blizzards, frostbite, frostbitten, icicle, icicles, subzero, snowfall, snowfalls",Wintertime related words,Winter + Summer
Summer Activities,"biking, biker, bikers, bike ride, hike, hikes, hiking, hiker, hikers, swimming, swim, swims, swam, swimmer, swimmers, beach volleyball, surfing, surf, surfs, surfer, surfers, wakeboarding, wakeboarder, wakeboarders, snorkeling, snorkel, snorkels, snorkeler, snorkelers, scuba diving, scuba diver, scuba divers, paddleboarding, paddleboarder, paddleboarders, kayaking, kayak, kayaks, kayaker, kayakers","Sports, primarily",Winter + Summer
Night,"night, nights, nighttime, midnight, midnights, nocturnal, moonlight, starry night, starry nights",Nighttime,It is nighttime + It is daytime
Morning,"morning, mornings, daytime, broad daylight, sunrise, sunrises, dawn, dawns, midday, morning routine, morning routines",daytime,It is nighttime + It is daytime
Pacifism,"pacifism, pacifist, pacifists, nonviolence, nonviolent, anti-war, peacekeeper, peacekeepers, peacekeeping, conscientious objector, conscientious objectors, disarmament, non-combatant, non-combatants, peace treaty, peace treaties",,Pacifism + Murderous
Violent Crimes,"violent crime, violent crimes, homicide, homicides, assault, assaults, assaulted, armed robbery, armed robberies, manslaughter, kidnapper, kidnappers, kidnapping, kidnappings, kidnapped, aggravated battery, mugging, muggings, mugger, muggers, mugged",,Pacifism + Murderous
Murder,"murder, murders, murderer, murderers, murdered, assassination, assassinations, assassin, assassins, assassinated, homicide, homicides, serial killer, serial killers, fatal shooting, fatal shootings",,Pacifism + Murderous
Being Rich,"wealthy, wealthier, wealthiest, billionaire, billionaires, affluent, millionaire, millionaires, high net worth, luxury lifestyle, enormous wealth",,Rich + Poor
Being Poor,"poverty, impoverished, homeless, homelessness, destitute, destitution, low income, indigent, penniless, living in poverty, struggling financially",,Rich + Poor
Desert,"desert, deserts, Sahara, Mojave, sand dune, sand dunes, oasis, oases, arid landscape, arid landscapes, cactus, cacti, cactuses, desertification, camel trek, camel treks",,Desert + Rainforest
Rainforest,"rainforest, rainforests, Amazon jungle, jungle, jungles, tropical canopy, tropical canopies, deforestation, rainforest ecosystem, rainforest ecosystems, macaw, macaws, poison dart frog, poison dart frogs",,Desert + Rainforest
Forest,"forest, forests, woodlands, woodland,tree,trees, timberland, timberlands, thick woods, forest floor, old-growth forest, sequoia, sequoias, logging",,Desert + Rainforest
Hell,"hell, underworld, eternal damnation, fire and brimstone, purgatory, Hades, inferno, infernos, burning in hell, hellfire, demonic realm, demonic realms",Also being in hell,Hell + Heaven
Heaven,"heaven, heavens, afterlife, pearly gates, paradise, paradises, angel, angels, angelic, celestial realm, celestial realms, kingdom of god, entering heaven, heavenly",Also being in heaven,Hell + Heaven
Basketball,"basketball, basketballs, layup, layups, slam dunk, slam dunks, alley-oop, alley-oops, free throw, free throws, three-pointer, three-pointers, point guard, point guards, shooting guard, shooting guards, NBA, WNBA, lebron james, michael jordan",,Basketball
Restaurant,"restaurant, restaurants, eatery, eateries, bistro, bistros, brasserie, brasseries, steakhouse, steakhouses, pizzeria, pizzerias, trattoria, trattorias, restaurateur, restaurateurs, waitstaff, waitstaffs, busboy, busboys, sommelier, sommeliers, Michelin star, waiter, waitress,chef",,Restaurant
